Nucleus posterior thalami,cocomac:2098,posterior nucleus of thalamus,UBERON:0003030,FMA:62221
Ventral pallidum,cocomac:1942,ventral pallidum,UBERON:0002778,FMA:77613
pedunculopontine tegmental nucleus,cocomac:1476,pedunculopontine tegmental nucleus,UBERON:0002142,FMA:72429
lateral entorhinal cortex,cocomac:655,lateral entorhinal cortex,UBERON:0007225,
Area pretectalis,cocomac:1393,pretectal region,UBERON:0001944,FMA:62402
Organum subcommissurale,cocomac:2097,subcommissural organ,UBERON:0002139,FMA:72414
Submedial thalamic nucleus,cocomac:1350,submedial nucleus of thalamus,UBERON:0003031,FMA:62223
Primary olfactory cortex,cocomac:523,primary olfactory cortex,UBERON:0022469,
dorsal raphe nucleus,cocomac:1254,dorsal raphe nucleus,UBERON:0002043,FMA:68462
Corpus amygdalae,cocomac:2145,amygdala,UBERON:0001876,FMA:61841
Nucleus cuneatus lateralis,cocomac:2157,accessory cuneate nucleus,UBERON:0002864,FMA:72603
peripeduncular nucleus,cocomac:1475,peripeduncular nucleus,UBERON:0002144,FMA:72437
"Putamen; rostral, intermediate, ventral",cocomac:976,putamen,UBERON:0001874,FMA:61834
Granular insular cortex,cocomac:276,granular insular cortex,UBERON:0034892,
Nucleus paraventricularis thalami,cocomac:115,paraventricular nucleus of thalamus,UBERON:0001920,FMA:62152
lateral part of basal amygdaloid nucleus,cocomac:1444,lateral part of basal amygdaloid nucleus,UBERON:0002888,FMA:68857
"Putamen; middle, intermediate, dorsal",cocomac:965,putamen,UBERON:0001874,FMA:61834
nucleus pulvinaris medialis thalami,cocomac:734,medial pulvinar nucleus,UBERON:0002638,FMA:62182
Vermis (cerebelli),cocomac:2133,cerebellar vermis,UBERON:0004720,FMA:76928
Anterior pulvinar nucleus,cocomac:370,oral pulvinar nucleus,UBERON:0002641,FMA:62180
"Nucleus caudatus; genu, lateral, central",cocomac:1135,caudate nucleus,UBERON:0001873,FMA:61833
"Putamen; rostral, medial, central",cocomac:981,putamen,UBERON:0001874,FMA:61834
Nucleus interstitialis,cocomac:2200,rostral interstitial nucleus of medial longitudinal fasciculus,UBERON:0002717,FMA:72433
retrosplenial granular cortex,cocomac:653,retrosplenial granular cortex,UBERON:0014918,
nucleus ventralis intermedius thalami,cocomac:749,oral part of ventral posterolateral nucleus,UBERON:0003019,FMA:62205
precentral dimple,cocomac:814,superior precentral sulcus,UBERON:0002566,FMA:83763
Nucleus infundibularis hypothalami,cocomac:2199,arcuate nucleus of hypothalamus,UBERON:0001932,FMA:62329
basomedial nucleus amygdalae,cocomac:128,accessory basal amygdaloid nucleus,UBERON:0002885,FMA:61867
Nucleus lateralis posterior thalami,cocomac:470,lateral posterior nucleus of thalamus,UBERON:0002983,FMA:62177
Nucleus subthalamicus,cocomac:2085,subthalamic nucleus,UBERON:0001906,FMA:62035
"Nucleus caudatus; tail, lateral, central",cocomac:1143,caudate nucleus,UBERON:0001873,FMA:61833
Nucleus pulvinaris lateralis thalami,cocomac:770,lateral pulvinar nucleus,UBERON:0002636,FMA:62181
"Nucleus caudatus; head, intermediate, dorsal",cocomac:950,caudate nucleus,UBERON:0001873,FMA:61833
Cingulate gyrus,cocomac:698,cingulate gyrus,UBERON:0002967,FMA:62434
"Corpus geniculatum laterale, pars oralis",cocomac:2185,ventral lateral geniculate nucleus,UBERON:0002480,FMA:62215
Prepiriform cortex,cocomac:2304,prepyriform area,UBERON:0002590,FMA:62484
medial entorhinal cortex,cocomac:658,medial entorhinal cortex,UBERON:0007224,
Nucleus lateralis corpus mamillaris,cocomac:2210,lateral mammillary nucleus,UBERON:0001938,FMA:62341
globus pallidus,cocomac:928,globus pallidus,UBERON:0001875,FMA:61835
parabigeminal nucleus,cocomac:1474,parabigeminal nucleus,UBERON:0002140,FMA:72415
basal amygdaloid nucleus,cocomac:1441,basal amygdaloid nucleus,UBERON:0002887,FMA:68855
"Nucleus caudatus; body, lateral, central",cocomac:986,caudate nucleus,UBERON:0001873,FMA:61833
substantia nigra pars reticulata,cocomac:1200,substantia nigra pars reticulata,UBERON:0001966,FMA:62908
Posterior nucleus of the thalamus,cocomac:372,posterior nucleus of thalamus,UBERON:0003030,FMA:62221
Corpus geniculatum mediale,cocomac:2186,medial geniculate body,UBERON:0001927,FMA:62211
Nucleus anterior medialis thalami,cocomac:765,anteromedial nucleus of thalamus,UBERON:0002681,FMA:62142
Dysgranular insular cortex,cocomac:539,agranular insular cortex,UBERON:0034893,
Nucleus peripeduncularis thalami,cocomac:1682,peripeduncular nucleus,UBERON:0002144,FMA:72437
Nucleus preopticus medianus,cocomac:2105,median preoptic nucleus,UBERON:0002625,FMA:62323
Nucleus intercalatus,cocomac:319,nucleus intercalatus,UBERON:0002876,FMA:72597
